category,brand,model,product,price,source_key
MotherBoard,GIGABYTE,B760,GIGABYTE B760M GAMING WIFI6 PLUS GEN5,3790,motherboard_gigabyte_b760m_gaming_wifi6_plus_gen5
MotherBoard,GIGABYTE,B760,GIGABYTE B760M GAMING X WIFI6E GEN5,4990,motherboard_gigabyte_b760m_gaming_x_wifi6e_gen5
MotherBoard,GIGABYTE,B760,GIGABYTE B760M AORUS ELITE AX,5290,motherboard_gigabyte_b760m_aorus_elite_ax
MotherBoard,GIGABYTE,B760,GIGABYTE B760M AORUS ELITE WIFI6E-P GEN5,5990,motherboard_gigabyte_b760m_aorus_elite_wifi6e_p_gen5
MotherBoard,MSI,B760,MSI PRO B760M-E,2590,motherboard_msi_pro_b760m_e
MotherBoard,MSI,B760,MSI PRO B760M-B,2790,motherboard_msi_pro_b760m_b
MotherBoard,MSI,B760,MSI PRO B760M-P,3090,motherboard_msi_pro_b760m_p
MotherBoard,MSI,B760,MSI PRO B760M-A WIFI,3890,motherboard_msi_pro_b760m_a_wifi
MotherBoard,MSI,B760,MSI B760M BOMBER,2790,motherboard_msi_b760m_bomber
MotherBoard,MSI,B760,MSI B760M BOMBER WIFI,3190,motherboard_msi_b760m_bomber_wifi
MotherBoard,MSI,B760,MSI B760M GAMING WIFI,3690,motherboard_msi_b760m_gaming_wifi
MotherBoard,MSI,B760,MSI B760M GAMING PLUS WIFI,4090,motherboard_msi_b760m_gaming_plus_wifi
MotherBoard,MSI,B760,MSI B760 GAMING PLUS WIFI,4290,motherboard_msi_b760_gaming_plus_wifi
MotherBoard,ASRock,B760,ASRock B760M-HDV/M.2,2390,motherboard_asrock_b760m_hdv_m_2
MotherBoard,ASRock,B760,ASRock B760M PG LIGHTNING,3890,motherboard_asrock_b760m_pg_lightning
MotherBoard,ASRock,B760,ASRock B760M Steel Legend WiFi,3490,motherboard_asrock_b760m_steel_legend_wifi
MotherBoard,ASUS,Z790,ASUS PRIME Z790-P D4-CSM,6490,motherboard_asus_prime_z790_p_d4_csm
MotherBoard,ASUS,Z790,ASUS PRIME Z790-A WIFI-CSM,6490,motherboard_asus_prime_z790_a_wifi_csm
MotherBoard,MSI,Z790,MSI PRO Z790-P WIFI,5290,motherboard_msi_pro_z790_p_wifi
MotherBoard,ASUS,H810,ASUS PRIME H810M-K-CSM,2990,motherboard_asus_prime_h810m_k_csm
MotherBoard,ASUS,H810,ASUS PRIME H810M-E-CSM,3190,motherboard_asus_prime_h810m_e_csm
MotherBoard,GIGABYTE,H810,GIGABYTE H810M K GEN5,2990,motherboard_gigabyte_h810m_k_gen5
MotherBoard,GIGABYTE,H810,GIGABYTE H810M H,3190,motherboard_gigabyte_h810m_h
MotherBoard,MSI,H810,MSI PRO H810M-E,2790,motherboard_msi_pro_h810m_e
MotherBoard,MSI,H810,MSI PRO H810M-B,3490,motherboard_msi_pro_h810m_b
MotherBoard,MSI,H810,MSI PRO H810M-B WIFI6E,3690,motherboard_msi_pro_h810m_b_wifi6e
MotherBoard,ASRock,H810,ASRock H810M-H,2290,motherboard_asrock_h810m_h
MotherBoard,ASRock,H810,ASRock H810M-X,2690,motherboard_asrock_h810m_x
MotherBoard,ASRock,H810,ASRock H810M-X WIFI,2990,motherboard_asrock_h810m_x_wifi
